"state_census_code","state","sector","observations","employment","members","covered","p_members","p_covered","state_abbreviation","year"
21,"New York","Private",8387,5376480.04666665,1290868.8025,1436252.2675,0.240095525979996,0.26713615655899,"NY",1983
21,"New York","Private",8525,5420914.43083335,1281659.9175,1430791.0975,0.236428737640381,0.263939052820206,"NY",1984
21,"New York","Private",9660,5600561.76750001,1195264.11916667,1315987.71916667,0.213418617844582,0.234974235296249,"NY",1985
21,"New York","Private",9885,5693432.56749999,1198243.07833333,1279100.54583334,0.21046057343483,0.224662452936172,"NY",1986
21,"New York","Private",9854,5831456.99833329,1191503.90833333,1283069.49333333,0.204323530197144,0.220025539398193,"NY",1987
21,"New York","Private",7249,5886412.42166665,1122900.7675,1206646.565,0.190761476755142,0.204988449811935,"NY",1988
21,"New York","Private",7735,5916730.95166662,1113135.66583333,1195520.36833333,0.18813356757164,0.202057585120201,"NY",1989
21,"New York","Private",10422,6083927.05083337,1101857.13166667,1226769.59416667,0.181109517812729,0.201641082763672,"NY",1990
21,"New York","Private",9753,5742374.99250001,1090355.51083333,1199235.63333334,0.189878836274147,0.208839654922485,"NY",1991
21,"New York","Private",9226,5541392.41000001,952518.840000001,1033419.275,0.17189159989357,0.186490908265114,"NY",1992
21,"New York","Private",9210,5624157.81583334,995895.898333335,1085457.38333333,0.177074670791626,0.192999094724655,"NY",1993
21,"New York","Private",9029,5676812.24108334,1014864.52438333,1090309.1334,0.178773671388626,0.192063629627228,"NY",1994
21,"New York","Private",8820,5750562.77115006,1009777.47404167,1071060.41574167,0.175596281886101,0.186253145337105,"NY",1995
21,"New York","Private",7523,5861865.23507502,936201.117116666,998532.852916665,0.159710451960564,0.17034387588501,"NY",1996
21,"New York","Private",7618,5986613.08931669,957217.840391667,1025253.35436667,0.159893050789833,0.1712576597929,"NY",1997
21,"New York","Private",7759,6079125.80229997,933551.882933333,998782.258233333,0.153566792607307,0.164297014474869,"NY",1998
21,"New York","Private",7605,6102085.90084164,922507.958575,981912.575366667,0.151179119944572,0.16091425716877,"NY",1999
21,"New York","Private",7891,6273150.50834165,962578.650200002,1016357.011625,0.153444215655327,0.162017002701759,"NY",2000
21,"New York","Private",7635,6208118.60288331,1035674.59173333,1087550.69945,0.166825845837593,0.175182014703751,"NY",2001
21,"New York","Private",7357,6147255.74047499,968796.536383333,1022936.49541667,0.157598212361336,0.166405394673347,"NY",2002
21,"New York","Private",6949,6421110.31315,947670.894466667,990802.1289,0.147586762905121,0.1543038636446,"NY",2003
21,"New York","Private",6514,6443990.86115005,973555.625141666,1028047.67370833,0.15107960999012,0.159535869956017,"NY",2004
21,"New York","Private",6180,6495959.44255832,1047617.074875,1111913.08256667,0.16127210855484,0.171169951558113,"NY",2005
21,"New York","Private",6119,6657150.20827502,977510.314725001,1027209.62316667,0.146836146712303,0.154301702976227,"NY",2006
21,"New York","Private",5945,6729572.55098333,1060793.547875,1129522.16570833,0.157631635665894,0.16784456372261,"NY",2007
21,"New York","Private",5862,6639759.18081669,954509.1409,1059006.46181667,0.143756583333015,0.159494712948799,"NY",2008
21,"New York","Private",5786,6487214.30424163,908051.166750002,1033791.76855833,0.139975517988205,0.159358352422714,"NY",2009
21,"New York","Private",5848,6574577.59161668,899081.936000001,1002391.07231667,0.136751279234886,0.152464717626572,"NY",2010
21,"New York","Private",5761,6494099.60104998,877308.344941667,996999.944325,0.135093152523041,0.153523966670036,"NY",2011
21,"New York","Private",5745,6577742.4159917,873465.141591667,973602.076808334,0.13279102742672,0.14801461994648,"NY",2012
21,"New York","Private",5703,6763707.94267502,1018204.2044,1097924.624125,0.150539353489876,0.162325844168663,"NY",2013
21,"New York","Private",5707,6708056.40399164,1001860.78223333,1079328.52381667,0.149351865053177,0.160900339484215,"NY",2014
21,"New York","Private",5572,6878284.28519998,1096074.82774167,1168599.2905,0.159352943301201,0.169896915555,"NY",2015
21,"New York","Private",5528,6851669.53048333,1013826.40435833,1106915.66463333,0.147967785596848,0.161554157733917,"NY",2016
21,"New York","Private",5579,7054619.59333332,1056613.22531667,1142101.66335833,0.149776071310043,0.161894157528877,"NY",2017
21,"New York","Private",5309,6978148.80017498,922106.399241666,1032049.91001667,0.132141977548599,0.147897377610207,"NY",2018
21,"New York","Private",5273,6962004.83084164,883502.014975,988908.461241666,0.126903384923935,0.142043635249138,"NY",2019
21,"New York","Private",4285,6274731.50090001,788707.765633333,878266.243466666,0.12569585442543,0.139968737959862,"NY",2020
21,"New York","Private",3997,6442129.12797499,843106.876158334,930109.292291667,0.130873948335648,0.144379168748856,"NY",2021
21,"New York","Private",4047,6843859.19636666,832240.390875001,912131.811033334,0.121603958308697,0.133277401328087,"NY",2022
23,"Pennsylvania","Private",5696,3683183.99000001,854975.290833334,943728.441666667,0.232129395008087,0.256226241588593,"PA",1983
23,"Pennsylvania","Private",6021,3923246.75000002,829488.368333334,887063.830833335,0.211429059505463,0.226104527711868,"PA",1984
23,"Pennsylvania","Private",6441,4000760.15916666,765635.340000001,820998.350833334,0.191372469067574,0.205210596323013,"PA",1985
23,"Pennsylvania","Private",6579,4052799.72583333,714139.92,771988.421666667,0.176209032535553,0.190482750535011,"PA",1986
23,"Pennsylvania","Private",6498,4143780.17333333,735916.415,792772.5525,0.177595421671867,0.19131626188755,"PA",1987
23,"Pennsylvania","Private",6633,4237885.31666665,711755.381666667,771522.695833333,0.167950600385666,0.182053700089455,"PA",1988
23,"Pennsylvania","Private",6907,4408080.28583333,721521.570833333,793850.034166666,0.163681581616402,0.180089741945267,"PA",1989
23,"Pennsylvania","Private",6887,4260008.56333331,663546.225,731170.780833333,0.15576171875,0.171635985374451,"PA",1990
23,"Pennsylvania","Private",6744,4181241.76666666,645069.295833333,692627.860833333,0.154276967048645,0.165651232004166,"PA",1991
23,"Pennsylvania","Private",6965,4241076.76500002,609788.879166667,655350.299166666,0.143781617283821,0.154524505138397,"PA",1992
23,"Pennsylvania","Private",6810,4292197.61500001,590265.8275,640947.2175,0.137520655989647,0.149328455328941,"PA",1993
23,"Pennsylvania","Private",6535,4257010.87649168,606758.877691666,650636.769891666,0.142531678080559,0.152838885784149,"PA",1994
23,"Pennsylvania","Private",6605,4309797.1613,606365.504783334,660727.907541667,0.140694677829742,0.153308346867561,"PA",1995
23,"Pennsylvania","Private",5745,4363730.37358334,559272.201141666,607535.398266666,0.128163784742355,0.139223858714104,"PA",1996
23,"Pennsylvania","Private",5667,4385756.07015833,517165.702283333,545893.529133333,0.117919392883778,0.12446965277195,"PA",1997
23,"Pennsylvania","Private",5760,4433621.96939999,508862.435375,547899.768516666,0.114773526787758,0.123578369617462,"PA",1998
23,"Pennsylvania","Private",5864,4493181.477125,534044.556016667,569588.2803,0.118856661021709,0.126767247915268,"PA",1999
23,"Pennsylvania","Private",5809,4474881.06346668,500781.946525001,527890.105666667,0.111909553408623,0.117967404425144,"PA",2000
23,"Pennsylvania","Private",5862,4542201.23267499,503300.432025,532391.400225,0.1108053997159,0.117210000753403,"PA",2001
23,"Pennsylvania","Private",5979,4607283.11242501,462583.977616666,490341.369633333,0.100402764976025,0.106427446007729,"PA",2002
23,"Pennsylvania","Private",5811,4576668.72800832,429750.120975,453664.690675,0.093900203704834,0.0991255268454552,"PA",2003
23,"Pennsylvania","Private",5551,4585918.26792499,443528.488975,463660.1855,0.0967153087258339,0.101105198264122,"PA",2004
23,"Pennsylvania","Private",5166,4734237.08109999,402399.774883334,429993.30855,0.0849978104233742,0.0908263176679611,"PA",2005
23,"Pennsylvania","Private",4771,4743525.70259168,380567.458141666,412312.858408333,0.0802288204431534,0.0869211778044701,"PA",2006
23,"Pennsylvania","Private",4732,4789811.70441667,463572.971308333,508586.148591667,0.0967831313610077,0.10618082433939,"PA",2007
23,"Pennsylvania","Private",4902,4842397.93354166,497150.516158334,524405.428216667,0.102666184306145,0.108294576406479,"PA",2008
23,"Pennsylvania","Private",4566,4562100.91410002,429892.008191666,461033.220575,0.0942311510443687,0.101057216525078,"PA",2009
23,"Pennsylvania","Private",4413,4526696.20134167,422696.2612,459409.191625,0.0933785364031792,0.101488851010799,"PA",2010
