"player_name","player_id","season","season_type","team","poss","mp","raptor_total","raptor_offense","raptor_defense","war_total","war_reg_season","war_playoffs","pace_impact"
"Bam Adebayo","adebaba01",2021,"RS","MIA",4362,2143,2.16947322456973,0.388499244629402,1.78097397994033,5.37265199340698,5.37265199340698,0,-0.114448227847975
"Bam Adebayo","adebaba01",2022,"PO","MIA",1197,614,4.08547602633056,0.812912809788639,3.27256321654192,2.1725891645721,0,2.1725891645721,-1.57922602881731
"Bam Adebayo","adebaba01",2022,"RS","MIA",3696,1825,3.78092236225634,-0.253893825218093,4.03481618747443,6.10262937303568,6.10262937303568,0,0.355041542657883
"Deng Adel","adelde01",2019,"RS","CLE",391,194,-5.774829321,-6.33371243,0.558883109,-0.29588577,-0.29588577,0,-1.194190583
"Jeff Adrien","adrieje01",2014,"RS","CHA",527,256,-1.322648663,-1.415709376,0.093060712,0.185889794,0.185889794,0,-0.27693691
"Jeff Adrien","adrieje01",2014,"RS","MIL",1381,705,-2.174938685,0.767748798,-2.942687483,0.20596816,0.20596816,0,-0.40630798
"Jeff Adrien","adrieje01",2015,"RS","MIN",442,215,-0.124531175,-1.041614438,0.917083263,0.288294064,0.288294064,0,0.099396392
"Arron Afflalo","afflaar01",2014,"RS","ORL",5047,2552,-1.79892812,1.22425804,-3.02318616,1.231903915,1.231903915,0,-0.49730894
"Arron Afflalo","afflaar01",2015,"RS","DEN",3516,1750,-2.286845626,-0.742448939,-1.544396688,0.410105075,0.410105075,0,-0.793612731
"Arron Afflalo","afflaar01",2015,"RS","POR",1490,752,-2.462754069,-0.869565919,-1.59318815,0.109697472,0.109697472,0,-0.444015025
"Arron Afflalo","afflaar01",2016,"RS","NYK",4648,2371,-3.106749185,-0.625410261,-2.481338924,-0.424460423,-0.424460423,0,-1.606045594
"Arron Afflalo","afflaar01",2017,"RS","SAC",3146,1580,-6.00977503,-1.252486813,-4.757288217,-2.593034888,-2.593034888,0,-1.296124622
"Arron Afflalo","afflaar01",2018,"RS","ORL",1389,682,-4.382990176,-2.858956209,-1.524033967,-0.562242617,-0.562242617,0,-1.041661365
"Alexis Ajinca","ajincal01",2014,"RS","NOP",1855,951,-2.808051489,-2.054606668,-0.75344482,-0.028102436,-0.028102436,0,-0.218473544
"Alexis Ajinca","ajincal01",2015,"RS","NOP",1844,957,0.924923945,-0.565591569,1.490515514,1.793286482,1.793286482,0,-0.055422213
"Alexis Ajinca","ajincal01",2016,"RS","NOP",1777,861,-2.152493538,-3.444059038,1.2915655,0.262838216,0.262838216,0,0.135601825
"Alexis Ajinca","ajincal01",2017,"RS","NOP",1223,584,-3.206903783,-4.436739426,1.229835643,-0.136314643,-0.136314643,0,0.127572121
"Santi Aldama","aldamsa01",2022,"RS","MEM",763,360,-4.67454270371178,-2.80947724402614,-1.86506545968564,-0.354748465790142,-0.354748465790142,0,0.357552936120088
"Furkan Aldemir","aldemfu01",2015,"RS","PHI",1087,540,-1.980146495,-0.318228362,-1.661918132,0.21216464,0.21216464,0,0.028863509
"Cole Aldrich","aldrico01",2014,"RS","NYK",658,330,3.388513611,-0.508187124,3.896700735,1.02873738,1.02873738,0,-0.443568112
"Cole Aldrich","aldrico01",2015,"RS","NYK",1915,976,-1.328403009,-2.78804587,1.459642861,0.709716538,0.709716538,0,0.247213254
"Cole Aldrich","aldrico01",2016,"RS","LAC",1612,800,0.973473729,-1.556803436,2.530277166,1.526349689,1.526349689,0,0.422826985
"Cole Aldrich","aldrico01",2017,"RS","MIN",1088,531,-2.214168724,-2.040379858,-0.173788867,0.144464506,0.144464506,0,-0.473588409
"LaMarcus Aldridge","aldrila01",2014,"PO","POR",869,441,6.016637494,3.124992952,2.891644542,2.024434143,0,2.024434143,-0.451676166
"LaMarcus Aldridge","aldrila01",2014,"RS","POR",4993,2498,3.3670981,1.139124681,2.227973419,7.721583795,7.721583795,0,-0.916971966
"LaMarcus Aldridge","aldrila01",2015,"PO","POR",398,208,-0.754342174,0.527665053,-1.282007228,0.214813805,0,0.214813805,-1.594854411
"LaMarcus Aldridge","aldrila01",2015,"RS","POR",4987,2512,4.288892293,2.418168543,1.87072375,8.937972946,8.937972946,0,-0.884717457
"LaMarcus Aldridge","aldrila01",2016,"PO","SAS",654,337,4.432952463,2.059807596,2.373144867,1.269340576,0,1.269340576,-0.329119537
"LaMarcus Aldridge","aldrila01",2016,"RS","SAS",4442,2261,2.328425486,0.823427443,1.504998043,5.790129719,5.790129719,0,-1.136663945
"LaMarcus Aldridge","aldrila01",2017,"PO","SAS",1040,537,-5.070329655,-3.496865188,-1.573464468,-0.648515887,0,-0.648515887,-1.051593983
"LaMarcus Aldridge","aldrila01",2017,"RS","SAS",4537,2335,0.743836351,-0.911187291,1.655023641,4.08566087,4.08566087,0,-1.805343193
"LaMarcus Aldridge","aldrila01",2018,"PO","SAS",350,177,2.568982223,2.303155434,0.265826789,0.494232307,0,0.494232307,-0.229158055
"LaMarcus Aldridge","aldrila01",2018,"RS","SAS",4948,2509,4.070846155,2.619059633,1.451786522,8.582586812,8.582586812,0,-1.689635521
"LaMarcus Aldridge","aldrila01",2019,"PO","SAS",477,244,2.942536143,-0.489219675,3.431755817,0.725045613,0,0.725045613,-0.793705252
"LaMarcus Aldridge","aldrila01",2019,"RS","SAS",5506,2687,1.986639963,0.747157246,1.239482717,6.412486888,6.412486888,0,-1.27139477
"LaMarcus Aldridge","aldrila01",2020,"RS","SAS",3648,1754,0.116579187011769,-0.66043981598044,0.777019002992208,2.53091736752676,2.53091736752676,0,-1.36752970319752
"LaMarcus Aldridge","aldrila01",2021,"RS","BRK",265,130,1.16724427686022,0.15118708243124,1.01605719442898,0.2587095652443,0.2587095652443,0,-0.429679452141938
"LaMarcus Aldridge","aldrila01",2021,"RS","SAS",1138,544,-4.29283507655162,-3.01090310946508,-1.28193196708654,-0.426374351955907,-0.426374351955907,0,-0.433339792997417
"LaMarcus Aldridge","aldrila01",2022,"RS","BRK",2205,1050,1.58961091179609,-0.241157321377177,1.83076823317327,2.31951796922503,2.31951796922503,0,-0.226049737481676
"Nickeil Alexander-Walker","alexani01",2020,"RS","NOP",1288,591,-3.22719380017298,-1.52042768199607,-1.70676611817691,-0.144990432805792,-0.144990432805792,0,0.782733244682426
"Nickeil Alexander-Walker","alexani01",2021,"RS","NOP",2109,1007,-0.642180534928595,-1.33079654209629,0.688616007167692,1.08719588288059,1.08719588288059,0,0.39707752036555
"Nickeil Alexander-Walker","alexani01",2022,"RS","NOP",2717,1317,-3.39974750679103,-1.85240064961495,-1.54734685717608,-0.439613764609426,-0.439613764609426,0,0.693286734311675
"Nickeil Alexander-Walker","alexani01",2022,"RS","UTA",308,149,-0.85722285515402,-2.04016314691967,1.18294029176565,0.144739361575246,0.144739361575246,0,0.591322979684475
"Rawle Alkins","alkinra01",2019,"RS","CHI",255,120,-5.700317489,-3.538436418,-2.161881071,-0.180513697,-0.180513697,0,-0.065753685
"Grayson Allen","allengr01",2019,"RS","UTA",899,416,-10.14765437,-4.608433896,-5.539220473,-1.583498036,-1.583498036,0,0.869531694
"Grayson Allen","allengr01",2020,"RS","MEM",1578,718,-1.39720011821975,0.044954528742763,-1.44215464696251,0.497797958711192,0.497797958711192,0,0.460582015998538
"Grayson Allen","allengr01",2021,"PO","MEM",245,116,-5.73795874914737,-2.53864383970918,-3.19931490943819,-0.183329340112999,0,-0.183329340112999,0.509141613726545
"Grayson Allen","allengr01",2021,"RS","MEM",2684,1259,0.355386544124908,0.0881656983665573,0.267220845758351,2.00121787807661,2.00121787807661,0,0.328955394080217
"Grayson Allen","allengr01",2022,"PO","MIL",644,305,-1.16407532591748,-1.2212834829346,0.0572081570171178,0.256469381309794,0,0.256469381309794,0.742282406877614
"Grayson Allen","allengr01",2022,"RS","MIL",3824,1805,0.365371632210958,0.456079238319884,-0.0907076061089258,2.86613437096455,2.86613437096455,0,-0.0991891161537242
"Jarrett Allen","allenja01",2018,"RS","BRK",3002,1441,-4.054694244,-2.924159372,-1.130534872,-0.956236725,-0.956236725,0,-0.3073628
"Jarrett Allen","allenja01",2019,"PO","BRK",245,110,-9.139488841,-1.208031701,-7.93145714,-0.378197887,0,-0.378197887,2.247687918
"Jarrett Allen","allenja01",2019,"RS","BRK",4478,2096,-4.328419054,-1.523007471,-2.805411583,-1.688439103,-1.688439103,0,0.030828739
"Jarrett Allen","allenja01",2020,"PO","BRK",279,132,7.40788140544383,0.376918645755142,7.03096275968869,0.687582131057568,0,0.687582131057568,-2.52961796553483
"Jarrett Allen","allenja01",2020,"RS","BRK",3918,1852,2.11262842475343,0.026463840742886,2.08616458401055,4.56415648534774,4.56415648534774,0,-0.677659030176761
"Jarrett Allen","allenja01",2021,"RS","BRK",690,320,5.54672657767625,1.2224350773507,4.32429150032555,1.36333883374187,1.36333883374187,0,0.654664622953896
"Jarrett Allen","allenja01",2021,"RS","CLE",3153,1544,0.0125620546352592,-1.10657444141695,1.11913649605221,2.16559555482758,2.16559555482758,0,-0.492277475245125
"Jarrett Allen","allenja01",2022,"RS","CLE",3667,1809,4.28343512688217,0.194234673563923,4.08920045331824,6.4604467519556,6.4604467519556,0,-0.478712888053594
"Kadeem Allen","allenka01",2018,"RS","BOS",226,107,-7.642862935,-6.379300135,-1.2635628,-0.268439635,-0.268439635,0,0.494443139
"Kadeem Allen","allenka01",2019,"RS","NYK",870,416,1.054343063,2.07813831,-1.023795247,0.801390513,0.801390513,0,-0.764299076
"Kadeem Allen","allenka01",2020,"RS","NYK",252,117,3.09212919374616,0.872790519828764,2.2193386739174,0.344584004645043,0.344584004645043,0,-1.21579574249891
"Lavoy Allen","allenla01",2014,"RS","IND",223,112,-3.450674178,-1.091182417,-2.35949176,-0.039920833,-0.039920833,0,-0.281171584
"Lavoy Allen","allenla01",2014,"RS","PHI",2055,960,-3.094292534,-2.913612921,-0.180679613,-0.168866331,-0.168866331,0,0.133437646
"Lavoy Allen","allenla01",2015,"RS","IND",2116,1070,1.241134083,-0.407116554,1.648250636,2.164894374,2.164894374,0,-0.612720494
"Lavoy Allen","allenla01",2016,"RS","IND",3203,1599,-0.950277002,-0.462068717,-0.488208285,1.450783119,1.450783119,0,-1.161184175
"Lavoy Allen","allenla01",2017,"RS","IND",1783,871,-1.309030192,-0.649926667,-0.659103525,0.63611547,0.63611547,0,-0.647778023
"Ray Allen","allenra02",2014,"PO","MIA",956,527,1.921430475,3.180209961,-1.258779486,1.29064658,0,1.29064658,-0.342134325
"Ray Allen","allenra02",2014,"RS","MIA",3716,1936,-0.239488195,1.409875242,-1.649363438,2.459532323,2.459532323,0,-0.782043486
"Tony Allen","allento01",2014,"PO","MEM",444,230,4.315388222,2.536377157,1.779011065,0.863867396,0,0.863867396,0.952017136
"Tony Allen","allento01",2014,"RS","MEM",2462,1278,2.621023448,0.212282292,2.408741156,3.537130126,3.537130126,0,0.959440619
"Tony Allen","allento01",2015,"PO","MEM",555,279,4.951437973,-0.018970517,4.970408489,1.137574126,0,1.137574126,0.591220959
"Tony Allen","allento01",2015,"RS","MEM",3252,1648,4.303348596,-0.451881742,4.755230338,5.975577723,5.975577723,0,0.728516072
"Tony Allen","allento01",2016,"RS","MEM",3165,1620,0.502238028,-1.035084374,1.537322402,2.687354587,2.687354587,0,-0.025379147
"Tony Allen","allento01",2017,"RS","MEM",3722,1914,1.505858626,-0.714337257,2.220195882,4.148433717,4.148433717,0,-0.177237662
"Tony Allen","allento01",2018,"RS","NOP",595,273,-2.975862832,-2.361014305,-0.614848527,-0.031765185,-0.031765185,0,0.964778022
"Jose Alvarado","alvarjo01",2022,"PO","NOP",230,117,-1.78371643325523,-3.10015678908655,1.31644035583133,0.0592568127364741,0,0.0592568127364741,-0.380599868299398
"Jose Alvarado","alvarjo01",2022,"RS","NOP",1749,834,5.74724722915917,1.00692224511049,4.74032498404868,3.61053258761411,3.61053258761411,0,-0.14116563466358
"Al-Farouq Aminu","aminual01",2014,"RS","NOP",4013,2045,-0.858179298,-1.329687578,0.47150828,1.966334705,1.966334705,0,-0.365099976
"Al-Farouq Aminu","aminual01",2015,"PO","DAL",322,150,11.04616288,5.266196841,5.779966043,1.095710366,0,1.095710366,0.600726088
"Al-Farouq Aminu","aminual01",2015,"RS","DAL",2806,1366,2.108401132,-0.499560389,2.607961521,3.393479392,3.393479392,0,0.212360979
"Al-Farouq Aminu","aminual01",2016,"PO","POR",769,372,6.712122474,1.983082566,4.729039908,1.876604211,0,1.876604211,1.254268466
"Al-Farouq Aminu","aminual01",2016,"RS","POR",4804,2341,-0.130836159,-0.736819678,0.605983519,3.140314263,3.140314263,0,0.376125849
"Al-Farouq Aminu","aminual01",2017,"PO","POR",240,113,0.369756122,-1.010781196,1.380537318,0.183512988,0,0.183512988,-1.035957464
"Al-Farouq Aminu","aminual01",2017,"RS","POR",3607,1773,1.262906866,-2.248002964,3.51090983,3.619383246,3.619383246,0,-0.287259139
"Al-Farouq Aminu","aminual01",2018,"PO","POR",275,131,0.80445087,0.45319625,0.351254621,0.24486175,0,0.24486175,-0.061453534
"Al-Farouq Aminu","aminual01",2018,"RS","POR",4251,2072,1.531061147,-0.673830439,2.204891586,4.514393812,4.514393812,0,-0.246874329
"Al-Farouq Aminu","aminual01",2019,"PO","POR",823,399,-1.851295421,-0.8795519,-0.971743521,0.187200015,0,0.187200015,-0.783185313
"Al-Farouq Aminu","aminual01",2019,"RS","POR",4833,2292,1.410622821,0.500682646,0.909940175,4.838685585,4.838685585,0,-0.558376831
"Al-Farouq Aminu","aminual01",2020,"RS","ORL",793,380,-2.3380823692224,-5.39599124034887,3.05790887112647,0.079502820058186,0.079502820058186,0,-0.457868125163756
"Al-Farouq Aminu","aminual01",2021,"RS","ORL",753,367,-0.321215868769625,-3.41165853912234,3.09044267035271,0.455737827103245,0.455737827103245,0,0.214049313437618
"Lou Amundson","amundlo01",2014,"RS","NOP",363,184,-4.970127622,-4.939025176,-0.031102445,-0.209187122,-0.209187122,0,0.353733216
"Lou Amundson","amundlo01",2015,"RS","NYK",1675,858,-0.501217622,-3.105695971,2.604478348,0.984739164,0.984739164,0,0.032251598
"Lou Amundson","amundlo01",2016,"RS","NYK",407,204,-3.144860178,-5.493576433,2.348716255,-0.041234064,-0.041234064,0,0.32500765
"Alan Anderson","anderal01",2014,"PO","BRK",498,261,-1.516164106,-2.011770578,0.495606472,0.171242842,0,0.171242842,0.980367855
"Alan Anderson","anderal01",2014,"RS","BRK",3440,1773,-0.908017302,-0.760787267,-0.147230036,1.655408394,1.655408394,0,-0.622888415
"Alan Anderson","anderal01",2015,"PO","BRK",294,142,8.907055979,6.099955584,2.807100395,0.891150838,0,0.891150838,2.230143516
"Alan Anderson","anderal01",2015,"RS","BRK",3476,1744,0.546133881,-0.811013026,1.357146906,2.936771399,2.936771399,0,0.127790871
"Alan Anderson","anderal01",2016,"RS","WAS",403,192,-2.090525828,0.724463278,-2.814989106,0.064595784,0.064595784,0,-0.00794136
"Alan Anderson","anderal01",2017,"RS","LAC",623,308,-7.305773242,-1.813429295,-5.492343947,-0.710220716,-0.710220716,0,-0.778364409
"Chris Andersen","anderch01",2014,"PO","MIA",583,317,6.010036838,0.568240552,5.441796286,1.448860228,0,1.448860228,-0.785091002
"Chris Andersen","anderch01",2014,"RS","MIA",2681,1396,2.055463059,0.476507727,1.578955332,3.400408767,3.400408767,0,-0.622977321
"Chris Andersen","anderch01",2015,"RS","MIA",2197,1132,-1.70778744,-1.626335602,-0.081451838,0.600826593,0.600826593,0,-0.175167495
