"player_ID","Player","year_ID","Age","Tm","tm_gms","Tm_Net_Rtg","Pos","G","MP","MP_pct","PER","TS_pct","ThrPAr","FTr","ORB_pct","TRB_pct","AST_pct","STL_pct","BLK_pct","TOV_pct","USG_pct","OWS","DWS","WS","WS40","Composite_Rating","Wins_Generated"
"banhara01w","Rachel Banham",2019,25,"CON",34,3.7,"G",29,353,"25.9%",4.7,0.435,0.626,0.113,0.3,4.9,11.4,1.2,0.5,17.7,18,-0.5,0.3,-0.2,-0.024,-4.8,0.05
"tuckmo01w","Morgan Tuck",2019,25,"CON",34,3.7,"F",33,352,"25.8%",10,0.476,0.362,0.259,5.6,10.7,12.8,1.9,0.8,18.8,19.6,-0.1,0.5,0.3,0.039,-2.2,0.5
"jonesbr01w","Brionna Jones",2019,23,"CON",34,3.7,"C",27,227,"16.6%",16.4,0.517,0.013,0.48,17.7,14.9,6.6,2,2.7,17.3,21,0.4,0.3,0.7,0.124,1.1,0.69
"hiedena01w","Natisha Hiedeman",2019,22,"CON",34,3.7,"G",20,205,"15.0%",15.9,0.532,0.483,0.414,3.7,8.4,29.2,2,0.9,15.9,17.2,0.5,0.3,0.8,0.153,1.8,0.69
"ogunbar01w","Arike Ogunbowale",2019,22,"DAL",34,-7.9,"G",33,1059,"77.9%",18.3,0.501,0.294,0.323,2.1,4.5,22.5,1.8,0.1,9.8,30.4,2.6,0.1,2.7,0.101,0,2.67
"grayal01w","Allisha Gray",2019,24,"DAL",34,-7.9,"G",34,1035,"76.1%",16.5,0.593,0.336,0.438,4.9,8.1,14.1,2.2,1.2,13.8,15.8,3.1,0.5,3.6,0.14,0.7,2.97
"thornka01w","Kayla Thornton",2019,26,"DAL",34,-7.9,"F",27,822,"60.5%",11.5,0.445,0.356,0.201,6.7,10.3,11.1,1.6,0.9,12.3,20.2,0.2,0.4,0.6,0.027,-3.1,0.81
"harriis01w","Isabelle Harrison",2019,25,"DAL",34,-7.9,"F",31,794,"58.4%",15.6,0.495,0.025,0.278,10.2,13.5,10.4,2.4,2.8,15.1,18.5,0.8,0.8,1.6,0.081,-0.9,1.62
"johnsgl01w","Glory Johnson",2019,28,"DAL",34,-7.9,"F",28,676,"49.7%",13.9,0.456,0.481,0.112,4.5,12.6,10.9,3.1,2.3,11.1,17.3,0.2,1,1.2,0.069,-1.5,1.17
"daviska01w","Kaela Davis",2019,24,"DAL",34,-7.9,"G",33,634,"46.6%",4.6,0.401,0.221,0.143,2.8,6.8,20.6,1.5,0.8,22.9,23.2,-1.9,0.2,-1.8,-0.111,-7.8,-0.87
"mccarbr01w","Brooke McCarty-Williams",2019,23,"DAL",34,-7.9,"G",34,447,"32.9%",7.5,0.425,0.556,0.133,2.5,6,24.3,1.9,0.2,23.3,12.8,-0.1,0.1,0,-0.001,-4.5,0.13
"plaisth01w","Theresa Plaisance",2019,27,"DAL",34,-7.9,"F",22,378,"27.8%",13.2,0.497,0.545,0.179,6.2,15.2,17.1,0.9,3.9,18.4,19.9,0.2,0.4,0.6,0.06,-1.9,0.59
"boyetim01w","Imani McGee-Stafford",2019,24,"DAL",34,-7.9,"C",29,346,"25.4%",14.8,0.486,0.037,0.128,14.3,19,10.4,2.7,4.5,22.8,19.9,-0.2,0.6,0.4,0.047,-2,0.53
"gustame01w","Megan Gustafson",2019,22,"DAL",34,-7.9,"F",25,238,"17.5%",15.1,0.572,0.164,0.364,9.4,15.7,5.5,0.9,2.2,13.6,14.3,0.6,0.2,0.7,0.124,0.1,0.61
"dupreca01w","Candice Dupree",2019,34,"IND",34,-3.5,"F",34,1043,"76.1%",14.5,0.502,0.008,0.152,2.7,9.4,14.9,0.8,1.5,11.7,19.3,1.2,0.5,1.6,0.062,-1.2,1.98
"laneybe01w","Betnijah Laney",2019,25,"IND",34,-3.5,"G-F",34,877,"64.0%",8.7,0.424,0.31,0.146,4.3,9.4,10.7,2.9,0.4,17.8,14.2,-0.8,0.9,0.1,0.004,-3.7,0.58
"mitchke01w","Kelsey Mitchell",2019,23,"IND",34,-3.5,"G",34,852,"62.2%",15.1,0.506,0.488,0.141,0.6,3.8,20.2,0.9,0.4,11,27.3,1.2,-0.1,1.1,0.052,-1.3,1.55
"wheeler01w","Erica Wheeler",2019,28,"IND",34,-3.5,"G",34,850,"62.0%",15.8,0.538,0.419,0.158,0.7,6.9,35.3,2.5,0.5,23.3,22.1,0.7,0.7,1.4,0.065,-0.9,1.74
"mitchti01w","Tiffany Mitchell",2019,24,"IND",34,-3.5,"G",33,831,"60.6%",11.2,0.491,0.241,0.325,3.2,6.6,14.5,1.2,0.3,14.4,20.8,0.6,0.1,0.8,0.037,-2.4,1.08
"mccowte01w","Teaira McCowan",2019,22,"IND",34,-3.5,"C",34,752,"54.9%",22.5,0.576,0,0.652,17.1,23.4,1.9,1.4,4.8,12.9,20.4,2.6,1.3,3.9,0.208,4,3.34
"achonna01w","Natalie Achonwa",2019,26,"IND",34,-3.5,"C",30,636,"46.4%",19.3,0.562,0.059,0.325,9,14.2,13.4,1.5,2.6,11.1,18.5,2.1,0.6,2.7,0.173,2.5,2.37
"burkeke01w","Kennedy Burke",2019,22,"IND",34,-3.5,"G",31,423,"30.9%",11.9,0.495,0.342,0.376,5.1,6.1,8.5,2.2,1.9,13.3,16.8,0.3,0.2,0.6,0.053,-1.9,0.66
"mavunst01w","Stephanie Mavunga",2019,24,"IND",34,-3.5,"F",24,204,"14.9%",12.9,0.551,0.021,0.362,12.3,15.8,3.3,1.5,2.8,15.5,14.3,0.3,0.2,0.6,0.111,-0.2,0.49
"graych01w","Chelsea Gray",2019,26,"LAS",34,3.6,"G",34,1108,"81.2%",15.8,0.509,0.29,0.159,1.4,6.6,31.1,1.5,0.2,18.3,23.8,1.1,1.2,2.4,0.085,0.2,2.87
"ogwumnn01w","Nneka Ogwumike",2019,28,"LAS",34,3.6,"F",32,892,"65.4%",25.7,0.575,0.167,0.229,9.3,18,12.4,3.4,1.4,11.5,25.2,3.1,2.4,5.5,0.248,6.2,4.93
"ruffiti01w","Tierra Ruffin-Pratt",2019,28,"LAS",34,3.6,"G",34,856,"62.7%",8.6,0.477,0.372,0.209,2.7,5.5,9.9,1.5,2,11.9,12.6,0.5,0.9,1.5,0.069,-1.5,1.52
"ogwumch01w","Chiney Ogwumike",2019,27,"LAS",34,3.6,"F",32,697,"51.1%",18.4,0.541,0.016,0.269,13.3,15,6.2,2.4,2.8,12.9,20.8,1.6,1.4,3,0.171,2.9,2.73
"wiesesy01w","Sydney Wiese",2019,24,"LAS",34,3.6,"G",32,659,"48.3%",8.5,0.521,0.65,0.063,0.9,3.6,12.9,1.2,1,17.9,12.1,0.3,0.5,0.8,0.048,-2,0.98
"williri02w","Riquna Williams",2019,29,"LAS",34,3.6,"G",23,593,"43.4%",15.4,0.538,0.57,0.207,2.5,5.8,10.4,2.2,0.6,9.6,21.9,1.2,0.7,2,0.132,1.4,1.87
"parkeca01w","Candace Parker",2019,33,"LAS",34,3.6,"F",22,571,"41.8%",18,0.514,0.284,0.318,4.8,14,22.2,2.1,2.5,18.3,23,0.5,1.2,1.8,0.124,1.6,1.87
"brownka01w","Kalani Brown",2019,22,"LAS",34,3.6,"C",28,377,"27.6%",15.9,0.54,0.009,0.407,10.3,14.8,7.4,1.2,4.9,17.9,19.2,0.5,0.7,1.2,0.128,1.3,1.19
"mabrema01w","Marina Mabrey",2019,22,"LAS",34,3.6,"G",31,355,"26.0%",10.9,0.453,0.588,0.122,1.9,6.1,13.4,2.7,1.7,14.8,20.3,-0.3,0.6,0.3,0.035,-1.9,0.54
"jonesal01w","Alexis Jones",2019,25,"LAS",34,3.6,"G",20,243,"17.8%",9,0.516,0.471,0.214,0.9,5.2,23.1,1.3,1.4,26.1,19,-0.1,0.2,0.1,0.021,-2.6,0.29
"mcbrika01w","Kayla McBride",2019,27,"LVA",34,4.1,"G",34,990,"72.2%",16.7,0.566,0.405,0.268,2.5,7.8,15,2,0.2,12.8,19.9,2.2,1.5,3.7,0.149,2.2,3.51
"plumke01w","Kelsey Plum",2019,24,"LVA",34,4.1,"G",34,868,"63.3%",10,0.472,0.427,0.133,1.9,6.1,18.9,1.5,0.4,14.6,18,0.1,1.1,1.2,0.056,-1.4,1.56
"hambyde01w","Dearica Hamby",2019,25,"LVA",34,4.1,"F",34,842,"61.4%",18.9,0.558,0.183,0.356,10.1,16.6,13.4,1.9,1.2,15.4,20.2,1.8,1.8,3.6,0.169,3.1,3.36
"cambael01w","Liz Cambage",2019,27,"LVA",34,4.1,"C",32,807,"58.9%",24.3,0.558,0.031,0.398,8.7,17.6,16.8,1.2,5.2,13.6,28.1,2.2,2,4.1,0.204,4.9,3.95
"youngja01w","Jackie Young",2019,21,"LVA",34,4.1,"G",34,767,"56.0%",12.4,0.42,0.186,0.309,3.4,7.9,30.9,1.7,1.3,16.5,18,0.1,1.2,1.3,0.067,-0.7,1.64
"wilsoa01w","A'ja Wilson",2019,22,"LVA",34,4.1,"C",26,740,"54.0%",21,0.547,0.003,0.436,6.5,12.4,12,0.9,5,12.5,26.1,1.7,1.4,3.1,0.168,3.4,3.08
"youngta01w","Tamera Young",2019,32,"LVA",34,4.1,"F",34,628,"45.8%",9.5,0.437,0.089,0.341,6.2,10.8,16.8,1.8,0.5,18.9,17.4,-0.4,1,0.6,0.038,-2,0.96
